SubjectID,StimulusType,response,RT
2,1,1,608
2,1,1,348
2,1,1,298
2,1,1,312
2,1,1,264
2,1,1,264
2,1,1,280
2,0,1,229
2,1,1,345
2,1,1,265
2,1,1,296
2,1,1,297
2,1,1,361
2,1,1,329
2,1,1,297
2,1,1,359
2,1,1,292
2,1,1,329
2,1,1,344
2,1,1,264
2,1,1,296
2,1,1,298
2,1,1,285
2,1,1,282
2,1,1,300
2,1,1,312
2,1,1,312
2,1,1,264
2,1,1,280
2,0,0,0
2,1,1,587
2,0,1,294
2,1,1,394
2,1,1,297
2,0,0,0
2,1,1,279
2,1,1,297
2,0,0,0
2,1,1,299
2,0,0,0
2,0,0,0
2,1,1,280
2,1,1,364
2,1,1,296
2,0,0,0
2,1,1,247
2,1,1,313
2,1,1,345
2,1,1,280
2,1,1,280
2,0,0,0
2,0,0,0
2,1,1,361
2,0,0,0
2,1,1,330
2,1,1,313
2,1,1,265
2,1,1,262
2,0,1,246
2,1,1,395
2,1,1,346
2,1,1,348
2,1,1,314
2,1,1,330
2,0,0,0
2,0,0,0
2,1,1,314
2,0,0,0
2,1,1,331
2,1,1,331
2,1,1,361
2,1,1,346
2,1,1,296
2,0,0,0
2,0,0,0
2,1,1,428
2,0,0,0
2,1,1,344
2,1,1,312
2,1,1,297
2,0,0,0
2,1,1,313
2,1,1,332
2,1,1,281
2,1,1,393
2,1,1,379
2,1,1,280
2,1,1,297
2,1,1,396
2,1,1,379
2,1,1,460
2,1,1,692
2,1,1,365
2,0,0,0
2,1,1,347
2,1,1,443
2,1,1,380
2,1,1,426
2,1,1,364
2,1,1,346
