,Task,Time,Performance,Subject
0,Absolute,3sec,0.4166666666666667,5964
1,Absolute,Infinite,0.4166666666666667,5964
2,Relative,3sec,0.5277777777777778,5964
3,Relative,Infinite,0.4444444444444444,5964
4,Pointing,3sec,0.6666666666666666,5964
5,Pointing,Infinite,0.4722222222222222,5964
6,Absolute,3sec,0.4166666666666667,3497
7,Absolute,Infinite,0.5555555555555556,3497
8,Relative,3sec,0.3888888888888889,3497
9,Relative,Infinite,0.5277777777777778,3497
10,Pointing,3sec,0.4722222222222222,3497
11,Pointing,Infinite,0.5,3497
12,Absolute,3sec,0.6111111111111112,1531
13,Absolute,Infinite,0.4166666666666667,1531
14,Relative,3sec,0.5277777777777778,1531
15,Relative,Infinite,0.4166666666666667,1531
16,Pointing,3sec,0.5833333333333334,1531
17,Pointing,Infinite,0.6111111111111112,1531
18,Absolute,3sec,0.5833333333333334,8500
19,Absolute,Infinite,0.5833333333333334,8500
20,Relative,3sec,0.5555555555555556,8500
21,Relative,Infinite,0.6944444444444444,8500
22,Pointing,3sec,0.5277777777777778,8500
23,Pointing,Infinite,0.3888888888888889,8500
24,Absolute,3sec,0.5833333333333334,5226
25,Absolute,Infinite,0.5555555555555556,5226
26,Relative,3sec,0.5555555555555556,5226
27,Relative,Infinite,0.5277777777777778,5226
28,Pointing,3sec,0.6111111111111112,5226
29,Pointing,Infinite,0.3611111111111111,5226
30,Absolute,3sec,0.5,4931
31,Absolute,Infinite,0.3611111111111111,4931
32,Relative,3sec,0.4444444444444444,4931
33,Relative,Infinite,0.4444444444444444,4931
34,Pointing,3sec,0.5277777777777778,4931
35,Pointing,Infinite,0.5555555555555556,4931
36,Absolute,3sec,0.5277777777777778,2830
37,Absolute,Infinite,0.5555555555555556,2830
38,Relative,3sec,0.4166666666666667,2830
39,Relative,Infinite,0.5555555555555556,2830
40,Pointing,3sec,0.3611111111111111,2830
41,Pointing,Infinite,0.5833333333333334,2830
42,Absolute,3sec,0.5,9998
43,Absolute,Infinite,0.4722222222222222,9998
44,Relative,3sec,0.5833333333333334,9998
45,Relative,Infinite,0.5277777777777778,9998
46,Pointing,3sec,0.4166666666666667,9998
47,Pointing,Infinite,0.5,9998
48,Absolute,3sec,0.5555555555555556,2007
49,Absolute,Infinite,0.5277777777777778,2007
50,Relative,3sec,0.5555555555555556,2007
51,Relative,Infinite,0.5833333333333334,2007
52,Pointing,3sec,0.5,2007
53,Pointing,Infinite,0.6111111111111112,2007
54,Absolute,3sec,0.6111111111111112,6513
55,Absolute,Infinite,0.3611111111111111,6513
56,Relative,3sec,0.4444444444444444,6513
57,Relative,Infinite,0.5555555555555556,6513
58,Pointing,3sec,0.5277777777777778,6513
59,Pointing,Infinite,0.3611111111111111,6513
60,Absolute,3sec,0.5,1533
61,Absolute,Infinite,0.5277777777777778,1533
62,Relative,3sec,0.4722222222222222,1533
63,Relative,Infinite,0.6666666666666666,1533
64,Pointing,3sec,0.4722222222222222,1533
65,Pointing,Infinite,0.6111111111111112,1533
66,Absolute,3sec,0.2777777777777778,3334
67,Absolute,Infinite,0.5277777777777778,3334
68,Relative,3sec,0.4166666666666667,3334
69,Relative,Infinite,0.6388888888888888,3334
70,Pointing,3sec,0.5277777777777778,3334
71,Pointing,Infinite,0.5555555555555556,3334
72,Absolute,3sec,0.5277777777777778,7782
73,Absolute,Infinite,0.4444444444444444,7782
74,Relative,3sec,0.4444444444444444,7782
75,Relative,Infinite,0.5555555555555556,7782
76,Pointing,3sec,0.5,7782
77,Pointing,Infinite,0.6111111111111112,7782
78,Absolute,3sec,0.4722222222222222,4666
79,Absolute,Infinite,0.3333333333333333,4666
80,Relative,3sec,0.4166666666666667,4666
81,Relative,Infinite,0.4166666666666667,4666
82,Pointing,3sec,0.7222222222222222,4666
83,Pointing,Infinite,0.5277777777777778,4666
84,Absolute,3sec,0.3888888888888889,6298
85,Absolute,Infinite,0.4722222222222222,6298
86,Relative,3sec,0.5,6298
87,Relative,Infinite,0.5833333333333334,6298
88,Pointing,3sec,0.6111111111111112,6298
89,Pointing,Infinite,0.5555555555555556,6298
90,Absolute,3sec,0.4722222222222222,8990
91,Absolute,Infinite,0.6666666666666666,8990
92,Relative,3sec,0.6111111111111112,8990
