,Subject,Measurement,Condition,Performance
0,5,1,0,0.0
1,5,1,0,0.0
2,5,1,0,0.0
3,5,1,0,1.0
4,5,1,0,0.0
5,5,1,0,0.0
6,5,1,0,1.0
7,5,1,0,0.0
8,5,1,0,0.0
9,5,1,0,1.0
10,5,1,0,1.0
11,5,1,0,0.0
12,5,1,0,1.0
13,5,1,0,0.0
14,5,1,0,0.0
15,5,1,0,1.0
16,5,1,0,1.0
17,5,1,0,0.0
18,5,1,0,1.0
19,5,1,0,0.0
20,5,1,0,0.0
21,5,1,0,0.0
22,5,1,0,1.0
23,5,1,0,1.0
24,5,1,0,1.0
25,5,1,0,1.0
26,5,1,0,0.0
27,5,1,0,1.0
28,5,1,0,0.0
29,5,1,0,0.0
30,5,1,0,0.0
31,5,1,0,0.0
32,5,1,0,1.0
33,5,1,0,1.0
34,5,1,0,1.0
35,5,1,0,1.0
36,5,1,1,0.0
37,5,1,1,0.0
38,5,1,1,0.0
39,5,1,1,1.0
40,5,1,1,0.0
41,5,1,1,0.0
42,5,1,1,1.0
43,5,1,1,1.0
44,5,1,1,0.0
45,5,1,1,0.0
46,5,1,1,0.0
47,5,1,1,0.0
48,5,1,1,1.0
49,5,1,1,0.0
50,5,1,1,0.0
51,5,1,1,1.0
52,5,1,1,1.0
53,5,1,1,0.0
54,5,1,1,1.0
55,5,1,1,0.0
56,5,1,1,1.0
57,5,1,1,0.0
58,5,1,1,1.0
59,5,1,1,1.0
60,5,1,1,0.0
61,5,1,1,1.0
62,5,1,1,0.0
63,5,1,1,1.0
64,5,1,1,1.0
65,5,1,1,1.0
66,5,1,1,1.0
67,5,1,1,0.0
68,5,1,1,0.0
69,5,1,1,0.0
70,5,1,1,0.0
71,5,1,1,0.0
72,5,1,2,0.0
73,5,1,2,1.0
74,5,1,2,1.0
75,5,1,2,0.0
76,5,1,2,0.0
77,5,1,2,0.0
78,5,1,2,0.0
79,5,1,2,0.0
80,5,1,2,0.0
81,5,1,2,0.0
82,5,1,2,1.0
83,5,1,2,0.0
84,5,1,2,0.0
85,5,1,2,0.0
86,5,1,2,1.0
87,5,1,2,1.0
88,5,1,2,0.0
89,5,1,2,1.0
90,5,1,2,1.0
91,5,1,2,0.0
92,5,1,2,0.0
93,5,1,2,0.0
94,5,1,2,0.0
95,5,1,2,0.0
96,5,1,2,1.0
97,5,1,2,1.0
98,5,1,2,0.0
99,5,1,2,0.0
100,5,1,2,0.0
101,5,1,2,1.0
102,5,1,2,1.0
103,5,1,2,0.0
104,5,1,2,0.0
105,5,1,2,0.0
106,5,1,2,1.0
107,5,1,2,0.0
108,5,1,3,0.0
109,5,1,3,0.0
110,5,1,3,0.0
111,5,1,3,1.0
112,5,1,3,0.0
113,5,1,3,0.0
114,5,1,3,1.0
115,5,1,3,0.0
116,5,1,3,1.0
117,5,1,3,1.0
118,5,1,3,1.0
119,5,1,3,0.0
120,5,1,3,1.0
121,5,1,3,0.0
122,5,1,3,0.0
123,5,1,3,1.0
124,5,1,3,0.0
125,5,1,3,0.0
126,5,1,3,1.0
127,5,1,3,1.0
128,5,1,3,1.0
129,5,1,3,0.0
130,5,1,3,1.0
131,5,1,3,1.0
132,5,1,3,1.0
133,5,1,3,0.0
134,5,1,3,0.0
135,5,1,3,0.0
136,5,1,3,1.0
137,5,1,3,0.0
138,5,1,3,1.0
139,5,1,3,1.0
140,5,1,3,1.0
141,5,1,3,1.0
142,5,1,3,1.0
143,5,1,3,1.0
144,5,1,4,0.0
145,5,1,4,1.0
146,5,1,4,1.0
147,5,1,4,1.0
148,5,1,4,0.0
149,5,1,4,0.0
150,5,1,4,0.0
151,5,1,4,0.0
152,5,1,4,1.0
153,5,1,4,0.0
154,5,1,4,0.0
155,5,1,4,0.0
156,5,1,4,1.0
157,5,1,4,0.0
158,5,1,4,0.0
159,5,1,4,0.0
160,5,1,4,0.0
161,5,1,4,1.0
162,5,1,4,0.0
163,5,1,4,0.0
164,5,1,4,0.0
165,5,1,4,0.0
166,5,1,4,0.0
167,5,1,4,0.0
168,5,1,4,1.0
169,5,1,4,1.0
170,5,1,4,0.0
171,5,1,4,0.0
172,5,1,4,0.0
173,5,1,4,0.0
174,5,1,4,1.0
175,5,1,4,1.0
176,5,1,4,1.0
177,5,1,4,1.0
178,5,1,4,0.0
179,5,1,4,1.0
180,5,1,5,1.0
181,5,1,5,0.0
182,5,1,5,1.0
183,5,1,5,1.0
184,5,1,5,0.0
185,5,1,5,1.0
186,5,1,5,0.0
187,5,1,5,0.0
188,5,1,5,1.0
189,5,1,5,1.0
190,5,1,5,1.0
191,5,1,5,0.0
192,5,1,5,0.0
193,5,1,5,1.0
194,5,1,5,0.0
195,5,1,5,1.0
196,5,1,5,1.0
197,5,1,5,1.0
198,5,1,5,1.0
199,5,1,5,1.0
200,5,1,5,0.0
