SubjectID,StimulusType,response,RT
7,1,1,429
7,1,1,294
7,1,1,341
7,1,1,324
7,0,0,0
7,1,1,340
7,1,1,343
7,1,1,326
7,1,1,325
7,0,0,0
7,1,1,257
7,1,1,361
7,1,1,342
7,1,1,310
7,1,1,326
7,1,1,291
7,1,1,360
7,0,0,0
7,1,1,393
7,0,0,0
7,1,1,273
7,1,1,395
7,1,1,310
7,1,1,341
7,1,1,291
7,1,1,324
7,1,1,361
7,1,1,308
7,1,1,308
7,1,1,327
7,1,1,306
7,0,1,311
7,1,1,528
7,1,1,309
7,1,1,290
7,0,0,0
7,1,1,259
7,1,1,409
7,1,1,311
7,1,1,308
7,1,1,445
7,0,0,0
7,1,1,259
7,1,1,310
7,1,1,412
7,1,1,278
7,0,0,0
7,1,1,356
7,1,1,322
7,1,1,345
7,1,1,306
7,1,1,324
7,0,0,0
7,0,0,0
7,1,1,412
7,1,1,426
7,1,1,358
7,1,1,475
7,1,1,242
7,1,1,375
7,0,0,0
7,1,1,274
7,1,1,259
7,1,1,361
7,1,1,291
7,1,1,292
7,0,0,0
7,1,1,327
7,1,1,409
7,0,1,276
7,1,1,393
7,0,0,0
7,0,0,0
7,1,1,393
7,0,0,0
7,1,1,312
7,1,1,462
7,1,1,480
7,1,1,324
7,1,1,379
7,1,1,462
7,0,0,0
7,1,1,397
7,1,1,392
7,1,1,495
7,1,1,340
7,1,1,359
7,1,1,324
7,0,0,0
7,1,1,373
7,1,1,392
7,1,1,359
7,1,1,325
7,1,1,358
7,1,1,326
7,1,1,363
7,1,1,361
7,0,0,0
7,1,1,412
7,0,0,0
