SubjectID,StimulusType,response,RT
09001,1,1,369
09001,1,1,532
09001,1,1,154
09001,0,1,151
09001,1,1,418
09001,1,1,185
09001,1,1,451
09001,1,1,402
09001,1,1,202
09001,1,1,353
09001,1,1,381
09001,0,1,236
09001,1,1,251
09001,1,1,204
09001,0,1,150
09001,1,1,613
09001,1,1,671
09001,1,1,219
09001,0,1,215
09001,1,1,985
09001,1,0,0
09001,1,1,401
09001,1,1,454
09001,1,1,241
09001,1,1,204
09001,1,1,352
09001,1,1,370
09001,1,1,314
09001,1,1,268
09001,1,1,250
09001,1,1,234
09001,0,1,220
09001,1,1,717
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,0,0,0
09001,0,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,0,0,0
09001,1,0,0
09001,0,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,0,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,0,1,218
09001,1,1,521
09001,1,1,397
09001,0,1,184
09001,1,1,598
09001,0,1,170
09001,1,1,320
09001,1,1,568
09001,1,1,333
09001,1,0,0
09001,0,0,0
09001,1,0,0
09001,0,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,0,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,0,0,0
09001,1,0,0
09001,0,0,0
09001,1,0,0
09001,0,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,1,0,0
09001,0,0,0
