SubjectID,StimulusType,response,RT
01002,1,1,608
01002,1,1,348
01002,1,1,298
01002,1,1,312
01002,1,1,264
01002,1,1,264
01002,1,1,280
01002,0,1,229
01002,1,1,345
01002,1,1,265
01002,1,1,296
01002,1,1,297
01002,1,1,361
01002,1,1,329
01002,1,1,297
01002,1,1,359
01002,1,1,292
01002,1,1,329
01002,1,1,344
01002,1,1,264
01002,1,1,296
01002,1,1,298
01002,1,1,285
01002,1,1,282
01002,1,1,300
01002,1,1,312
01002,1,1,312
01002,1,1,264
01002,1,1,280
01002,0,0,0
01002,1,1,587
01002,0,1,294
01002,1,1,394
01002,1,1,297
01002,0,0,0
01002,1,1,279
01002,1,1,297
01002,0,0,0
01002,1,1,299
01002,0,0,0
01002,0,0,0
01002,1,1,280
01002,1,1,364
01002,1,1,296
01002,0,0,0
01002,1,1,247
01002,1,1,313
01002,1,1,345
01002,1,1,280
01002,1,1,280
01002,0,0,0
01002,0,0,0
01002,1,1,361
01002,0,0,0
01002,1,1,330
01002,1,1,313
01002,1,1,265
01002,1,1,262
01002,0,1,246
01002,1,1,395
01002,1,1,346
01002,1,1,348
01002,1,1,314
01002,1,1,330
01002,0,0,0
01002,0,0,0
01002,1,1,314
01002,0,0,0
01002,1,1,331
01002,1,1,331
01002,1,1,361
01002,1,1,346
01002,1,1,296
01002,0,0,0
01002,0,0,0
01002,1,1,428
01002,0,0,0
01002,1,1,344
01002,1,1,312
01002,1,1,297
01002,0,0,0
01002,1,1,313
01002,1,1,332
01002,1,1,281
01002,1,1,393
01002,1,1,379
01002,1,1,280
01002,1,1,297
01002,1,1,396
01002,1,1,379
01002,1,1,460
01002,1,1,692
01002,1,1,365
01002,0,0,0
01002,1,1,347
01002,1,1,443
01002,1,1,380
01002,1,1,426
01002,1,1,364
01002,1,1,346
