SubjectID,StimulusType,response,RT
01003,1,1,410
01003,0,0,0
01003,1,1,355
01003,1,1,340
01003,1,1,307
01003,1,1,288
01003,1,1,308
01003,1,1,309
01003,1,1,307
01003,1,1,306
01003,0,0,0
01003,1,1,306
01003,1,1,256
01003,0,0,0
01003,0,0,0
01003,0,0,0
01003,1,1,275
01003,1,1,293
01003,0,0,0
01003,1,1,291
01003,1,1,293
01003,1,1,275
01003,1,1,259
01003,0,0,0
01003,1,1,393
01003,1,1,257
01003,1,1,242
01003,1,1,242
01003,1,1,239
01003,1,1,223
01003,1,1,241
01003,1,1,242
01003,1,1,240
01003,1,1,156
01003,1,1,256
01003,1,1,223
01003,1,1,239
01003,1,1,225
01003,1,1,224
01003,0,1,258
01003,1,1,342
01003,1,1,273
01003,1,1,261
01003,1,1,258
01003,1,1,260
01003,1,1,255
01003,1,1,308
01003,1,1,258
01003,1,1,306
01003,1,1,257
01003,0,0,0
01003,1,1,326
01003,1,1,260
01003,1,1,243
01003,0,0,0
01003,1,1,275
01003,1,1,290
01003,1,1,256
01003,1,1,288
01003,0,1,294
01003,0,0,0
01003,1,1,392
01003,1,1,240
01003,1,1,239
01003,1,1,257
01003,1,1,259
01003,1,1,240
01003,0,0,0
01003,1,1,240
01003,0,1,224
01003,1,1,277
01003,1,1,257
01003,1,1,273
01003,1,1,256
01003,1,1,344
01003,0,0,0
01003,1,1,225
01003,1,1,239
01003,1,1,273
01003,0,1,256
01003,1,1,256
01003,0,0,0
01003,1,0,0
01003,0,0,0
01003,1,1,291
01003,1,1,292
01003,1,1,260
01003,0,0,0
01003,1,1,325
01003,1,1,291
01003,1,1,376
01003,1,1,324
01003,1,1,475
01003,1,1,425
01003,1,1,308
01003,1,1,309
01003,1,1,294
01003,1,1,291
01003,1,1,242
01003,0,0,0
