SubjectID,StimulusType,response,RT
01008,1,1,1253
01008,1,1,340
01008,1,1,414
01008,0,0,0
01008,1,1,462
01008,1,1,570
01008,1,1,327
01008,1,1,341
01008,1,1,344
01008,1,1,291
01008,1,1,412
01008,0,0,0
01008,0,0,0
01008,1,1,359
01008,1,1,396
01008,1,1,361
01008,1,1,340
01008,1,1,310
01008,1,1,393
01008,1,1,377
01008,1,1,376
01008,1,1,362
01008,0,0,0
01008,1,1,378
01008,1,1,357
01008,0,0,0
01008,1,1,460
01008,1,0,0
01008,0,0,0
01008,0,0,0
01008,1,1,342
01008,1,1,362
01008,1,1,359
01008,0,0,0
01008,1,1,425
01008,0,0,0
01008,1,1,308
01008,1,1,390
01008,1,1,343
01008,0,0,0
01008,1,1,461
01008,1,1,394
01008,1,1,409
01008,1,1,342
01008,0,0,0
01008,1,1,345
01008,1,1,392
01008,1,1,375
01008,1,1,295
01008,1,1,410
01008,1,1,361
01008,1,1,309
01008,1,1,395
01008,1,1,275
01008,1,1,322
01008,1,1,395
01008,1,1,345
01008,1,1,359
01008,1,1,293
01008,1,1,309
01008,1,1,307
01008,1,1,460
01008,0,0,0
01008,1,1,325
01008,1,1,396
01008,0,0,0
01008,0,0,0
01008,1,1,375
01008,1,1,343
01008,1,1,341
01008,0,0,0
01008,0,0,0
01008,1,1,309
01008,1,1,359
01008,1,1,345
01008,1,1,293
01008,1,1,293
01008,1,1,308
01008,1,1,309
01008,0,0,0
01008,1,1,345
01008,1,1,339
01008,1,1,310
01008,1,1,378
01008,1,1,310
01008,1,1,309
01008,1,1,291
01008,1,1,290
01008,1,1,308
01008,1,1,360
01008,0,0,0
01008,0,0,0
01008,1,1,441
01008,1,1,292
01008,1,1,510
01008,1,1,360
01008,1,1,326
01008,1,1,292
01008,1,1,309
01008,0,0,0
