,SubjectID,StimulusType,response,RT
0,1001,1,1,668
1,1001,0,0,0
2,1001,1,1,389
3,1001,1,1,454
4,1001,1,1,362
5,1001,1,1,377
6,1001,1,1,376
7,1001,1,1,364
8,1001,0,0,0
9,1001,0,0,0
10,1001,1,1,383
11,1001,1,1,410
12,1001,1,1,378
13,1001,1,1,317
14,1001,1,1,311
15,1001,1,1,287
16,1001,1,1,322
17,1001,1,1,314
18,1001,0,0,0
19,1001,1,1,592
20,1001,1,1,391
21,1001,1,1,382
22,1001,1,1,407
23,1001,1,1,386
24,1001,1,1,391
25,1001,1,1,357
26,1001,1,1,357
27,1001,1,1,374
28,1001,1,1,424
29,1001,1,1,425
30,1001,1,1,391
31,1001,1,1,431
32,1001,1,1,400
33,1001,1,1,349
34,1001,1,1,397
35,1001,1,1,428
36,1001,1,1,378
37,1001,1,1,411
38,1001,1,1,429
39,1001,1,1,410
40,1001,0,0,0
41,1001,1,1,526
42,1001,1,1,430
43,1001,1,1,363
44,1001,0,0,0
45,1001,0,0,0
46,1001,1,1,460
47,1001,0,1,392
48,1001,0,0,0
49,1001,0,0,0
50,1001,1,1,477
51,1001,1,1,393
52,1001,0,0,0
53,1001,0,0,0
54,1001,1,1,426
55,1001,1,1,378
56,1001,1,1,354
57,1001,1,1,346
58,1001,1,1,415
59,1001,1,1,381
60,1001,1,1,340
61,1001,1,1,384
62,1001,0,0,0
63,1001,1,1,679
64,1001,1,1,394
65,1001,1,1,350
66,1001,1,1,414
67,1001,1,1,365
68,1001,1,1,399
69,1001,0,0,0
70,1001,0,0,0
71,1001,1,1,553
72,1001,0,0,0
73,1001,1,1,526
74,1001,1,1,425
75,1001,0,0,0
76,1001,1,1,619
77,1001,1,1,404
78,1001,1,1,374
79,1001,1,1,380
80,1001,1,1,362
81,1001,1,1,363
82,1001,1,1,412
83,1001,1,1,395
84,1001,1,1,378
85,1001,1,1,446
86,1001,0,0,0
87,1001,0,0,0
88,1001,1,1,678
89,1001,0,0,0
90,1001,1,1,595
91,1001,1,1,412
92,1001,1,1,314
93,1001,1,1,332
94,1001,1,1,346
95,1001,1,1,396
96,1001,1,1,410
97,1001,1,1,377
98,1001,1,1,346
99,1001,1,1,362
0,1002,1,1,608
1,1002,1,1,348
2,1002,1,1,298
3,1002,1,1,312
4,1002,1,1,264
5,1002,1,1,264
6,1002,1,1,280
7,1002,0,1,229
8,1002,1,1,345
9,1002,1,1,265
10,1002,1,1,296
11,1002,1,1,297
12,1002,1,1,361
13,1002,1,1,329
14,1002,1,1,297
15,1002,1,1,359
16,1002,1,1,292
17,1002,1,1,329
18,1002,1,1,344
19,1002,1,1,264
20,1002,1,1,296
21,1002,1,1,298
22,1002,1,1,285
23,1002,1,1,282
24,1002,1,1,300
25,1002,1,1,312
26,1002,1,1,312
27,1002,1,1,264
28,1002,1,1,280
29,1002,0,0,0
30,1002,1,1,587
31,1002,0,1,294
32,1002,1,1,394
33,1002,1,1,297
34,1002,0,0,0
35,1002,1,1,279
36,1002,1,1,297
37,1002,0,0,0
38,1002,1,1,299
39,1002,0,0,0
40,1002,0,0,0
41,1002,1,1,280
42,1002,1,1,364
43,1002,1,1,296
44,1002,0,0,0
45,1002,1,1,247
46,1002,1,1,313
47,1002,1,1,345
48,1002,1,1,280
49,1002,1,1,280
50,1002,0,0,0
51,1002,0,0,0
52,1002,1,1,361
53,1002,0,0,0
54,1002,1,1,330
55,1002,1,1,313
56,1002,1,1,265
57,1002,1,1,262
58,1002,0,1,246
59,1002,1,1,395
60,1002,1,1,346
61,1002,1,1,348
62,1002,1,1,314
63,1002,1,1,330
64,1002,0,0,0
65,1002,0,0,0
66,1002,1,1,314
67,1002,0,0,0
68,1002,1,1,331
69,1002,1,1,331
70,1002,1,1,361
71,1002,1,1,346
72,1002,1,1,296
73,1002,0,0,0
74,1002,0,0,0
75,1002,1,1,428
76,1002,0,0,0
77,1002,1,1,344
78,1002,1,1,312
79,1002,1,1,297
80,1002,0,0,0
81,1002,1,1,313
82,1002,1,1,332
83,1002,1,1,281
84,1002,1,1,393
85,1002,1,1,379
86,1002,1,1,280
87,1002,1,1,297
88,1002,1,1,396
89,1002,1,1,379
90,1002,1,1,460
91,1002,1,1,692
92,1002,1,1,365
93,1002,0,0,0
94,1002,1,1,347
95,1002,1,1,443
96,1002,1,1,380
97,1002,1,1,426
98,1002,1,1,364
99,1002,1,1,346
0,1003,1,1,410
1,1003,0,0,0
2,1003,1,1,355
3,1003,1,1,340
4,1003,1,1,307
5,1003,1,1,288
6,1003,1,1,308
7,1003,1,1,309
8,1003,1,1,307
9,1003,1,1,306
10,1003,0,0,0
11,1003,1,1,306
12,1003,1,1,256
13,1003,0,0,0
14,1003,0,0,0
15,1003,0,0,0
16,1003,1,1,275
17,1003,1,1,293
18,1003,0,0,0
